Date,Open,High,Low,Close,Adj Close,Volume
2018-02-08,291.600006,294.799988,274.799988,283.179993,281.964691,5727
2018-02-09,292.200012,292.399994,287.239990,289.420013,288.177917,1420
2018-02-12,284.000000,303.880005,284.000000,302.880005,301.580170,30600
2018-02-14,303.600006,306.000000,292.160004,293.019989,291.762482,7650
2018-02-15,305.559998,307.160004,283.239990,286.579987,285.350128,7762
2018-02-16,290.000000,290.000000,272.260010,282.000000,280.789795,3147
2018-02-19,280.000000,280.000000,267.899994,267.899994,266.750305,5237
2018-02-20,268.000000,268.000000,254.520004,268.000000,266.849884,13147
2018-02-21,268.000000,268.000000,256.000000,263.399994,262.269592,7042
2018-02-22,266.000000,266.000000,250.240005,252.699997,251.615509,7435
2018-02-23,256.000000,265.320007,256.000000,265.320007,264.181366,2570
2018-02-26,278.399994,278.579987,278.279999,278.579987,277.384430,10230
2018-02-27,292.500000,292.500000,292.500000,292.500000,291.244720,3180
2018-02-28,307.119995,307.119995,307.119995,307.119995,305.801971,1057
2018-03-01,322.459991,322.459991,316.000000,322.420013,321.036316,62687
2018-03-05,321.200012,335.200012,306.399994,323.079987,321.693481,49952
2018-03-06,324.000000,328.000000,310.040009,313.940002,312.592712,9390
2018-03-07,312.000000,312.000000,298.260010,298.260010,296.980011,7522
2018-03-08,290.000000,304.000000,283.359985,284.239990,283.020172,21640
2018-03-09,291.959991,291.959991,272.040009,284.799988,283.577759,4997
2018-03-12,284.399994,297.959991,284.000000,292.720001,291.463776,8997
2018-03-13,292.059998,307.339996,292.059998,305.600006,304.288513,7167
2018-03-14,304.000000,315.600006,296.019989,303.980011,302.675446,1567
2018-03-15,296.679993,304.000000,288.799988,293.019989,291.762482,4057
2018-03-16,303.579987,303.579987,286.000000,295.540009,294.271698,4357
2018-03-19,292.000000,292.000000,280.779999,281.640015,280.431366,5925
2018-03-20,290.000000,290.799988,268.839996,287.640015,286.405579,3735
2018-03-21,290.799988,293.200012,283.260010,290.079987,288.835083,5205
2018-03-22,292.000000,293.980011,285.000000,287.579987,286.345825,12537
2018-03-23,288.000000,288.000000,276.420013,279.480011,278.280609,3010
2018-03-26,288.000000,288.000000,276.000000,285.779999,284.553558,5667
2018-03-27,287.980011,288.000000,280.820007,287.600006,286.365784,2835
2018-03-28,287.200012,287.200012,273.220001,273.220001,272.047485,15050
2018-04-02,273.220001,286.880005,270.000000,278.140015,276.946381,27637
2018-04-03,278.140015,287.579987,272.000000,285.980011,284.752716,8287
2018-04-04,286.000000,291.559998,271.700012,271.959991,270.792847,8892
2018-04-05,285.540009,285.540009,270.399994,282.000000,280.789795,5835
2018-04-06,284.619995,290.000000,274.420013,289.679993,288.436798,3337
2018-04-09,290.000000,297.579987,276.859985,290.000000,288.755432,8710
2018-04-10,280.119995,290.000000,280.119995,289.480011,288.237701,9665
2018-04-11,288.579987,288.579987,284.959991,286.980011,285.748444,6055
2018-04-12,292.000000,294.000000,286.000000,288.720001,287.480957,12872
2018-04-13,299.959991,299.959991,287.200012,288.119995,286.883514,21587
2018-04-16,298.000000,302.519989,291.559998,302.519989,301.221710,44547
2018-04-17,304.000000,316.000000,304.000000,312.799988,311.457611,22550
2018-04-18,319.480011,319.480011,297.160004,297.619995,296.342743,103292
2018-04-19,312.450012,312.450012,308.950012,312.450012,311.109100,1795
2018-04-20,328.049988,328.049988,315.000000,328.049988,326.642120,14643
2018-04-23,344.000000,344.000000,320.000000,339.399994,337.943420,15420
2018-04-24,351.000000,355.000000,326.000000,337.049988,335.603546,18032
2018-04-25,337.049988,343.000000,321.000000,332.299988,330.873901,6027
2018-04-26,322.250000,343.000000,316.000000,335.799988,334.358856,4932
2018-04-27,330.049988,343.799988,330.000000,333.250000,331.819824,9393
2018-04-30,334.000000,345.000000,334.000000,339.299988,337.843872,5159
2018-05-02,345.000000,345.000000,336.000000,338.850006,337.395813,10197
2018-05-03,338.000000,355.750000,331.500000,355.750000,354.223297,13847
2018-05-04,372.450012,373.500000,362.450012,373.500000,371.897095,36375
2018-05-07,389.000000,392.000000,354.850006,359.049988,357.509094,29896
2018-05-08,369.000000,369.000000,351.000000,358.299988,356.762329,16560
2018-05-09,341.100006,360.000000,341.100006,352.450012,350.937469,8224
2018-05-10,345.049988,365.000000,341.000000,353.399994,351.883362,7878
2018-05-11,354.000000,363.000000,345.000000,359.399994,357.857574,9508
2018-05-14,364.899994,364.899994,346.100006,347.399994,345.909088,16441
2018-05-15,345.000000,358.000000,337.299988,348.149994,346.655884,9371
2018-05-16,350.000000,350.000000,340.000000,349.750000,348.249054,4941
2018-05-17,349.750000,355.000000,342.500000,346.100006,344.614685,11510
2018-05-18,342.100006,352.600006,337.700012,345.100006,343.618988,9007
2018-05-21,348.899994,348.899994,335.000000,339.750000,338.291931,6647
2018-05-22,340.000000,341.899994,334.500000,337.149994,335.703094,7465
2018-05-23,330.049988,345.000000,330.049988,339.899994,338.441284,7502
2018-05-24,340.000000,342.899994,330.549988,334.850006,333.412964,8102
2018-05-25,331.500000,349.799988,331.500000,343.100006,341.627563,9001
2018-05-28,339.000000,343.700012,336.000000,339.500000,338.042999,12468
2018-05-29,341.000000,346.200012,322.549988,336.450012,335.006104,27111
2018-05-30,329.049988,339.899994,325.350006,337.000000,335.553741,10031
2018-05-31,347.000000,347.000000,330.000000,331.850006,330.425842,5985
2018-06-01,335.000000,336.700012,320.100006,322.000000,320.618103,8152
2018-06-04,321.000000,321.000000,305.899994,305.950012,304.637024,20931
2018-06-05,317.000000,321.200012,294.100006,316.600006,315.241302,26513
2018-06-06,302.299988,324.950012,302.299988,319.600006,318.228424,8315
2018-06-07,319.600006,338.000000,319.600006,331.799988,330.376038,10004
2018-06-08,328.000000,345.000000,327.250000,340.899994,339.437012,20968
2018-06-11,325.000000,345.000000,325.000000,338.200012,336.748627,10891
2018-06-12,328.000000,335.000000,320.000000,327.649994,326.243866,18733
2018-06-13,337.000000,341.950012,326.299988,335.100006,333.661926,14646
2018-06-14,322.049988,338.899994,322.049988,333.299988,331.869598,10158
2018-06-15,334.950012,334.950012,325.000000,331.250000,329.828430,9324
2018-06-18,330.000000,333.700012,317.549988,329.850006,328.434418,9450
2018-06-19,311.000000,331.000000,311.000000,327.000000,325.596680,5043
2018-06-20,324.000000,333.000000,324.000000,329.700012,328.285065,3383
2018-06-21,323.000000,333.000000,321.000000,329.850006,328.434418,10552
2018-06-22,326.950012,334.000000,325.000000,331.250000,329.828430,4389
2018-06-25,309.299988,331.700012,309.299988,329.600006,328.185516,9253
2018-06-26,325.149994,331.899994,325.149994,327.899994,326.492798,5005
2018-06-27,325.049988,328.799988,320.000000,325.399994,324.003540,13120
2018-06-28,322.000000,334.000000,317.049988,322.649994,321.265320,7416
2018-06-29,322.700012,330.000000,320.000000,320.899994,319.522858,10211
2018-07-02,328.750000,328.750000,307.000000,315.149994,313.797516,18188
2018-07-03,309.000000,327.500000,309.000000,314.950012,313.598389,7961
2018-07-04,285.000000,324.000000,285.000000,308.850006,307.524567,15988
2018-07-05,302.000000,315.500000,295.500000,312.950012,311.606964,8117
2018-07-06,318.500000,319.799988,303.000000,314.899994,313.548584,6125
2018-07-09,312.000000,323.000000,310.049988,320.299988,318.925385,3681
2018-07-10,328.000000,328.000000,311.000000,319.200012,317.830170,4590
2018-07-11,320.000000,327.950012,311.000000,311.649994,310.312531,5778
2018-07-12,317.899994,320.000000,311.649994,313.299988,311.955444,5189
2018-07-13,319.950012,319.950012,309.000000,313.250000,311.905670,4782
2018-07-16,315.000000,315.000000,309.000000,310.350006,309.018097,2539
2018-07-17,305.049988,314.950012,285.000000,309.950012,308.619843,8876
2018-07-18,311.000000,317.000000,305.000000,313.200012,311.855927,6074
2018-07-19,317.000000,317.000000,302.200012,308.500000,307.176056,3828
2018-07-20,312.950012,312.950012,303.549988,308.549988,307.225830,6196
2018-07-23,313.000000,313.000000,303.000000,305.649994,304.338287,2372
2018-07-24,301.000000,323.000000,301.000000,321.299988,319.921112,6616
2018-07-25,326.000000,326.000000,312.399994,319.149994,317.780334,5173
2018-07-26,312.600006,321.950012,310.000000,312.100006,310.760620,3748
2018-07-27,318.649994,318.649994,306.500000,307.700012,306.379517,2725
2018-07-30,313.000000,318.750000,303.600006,307.549988,306.230133,7103
2018-07-31,309.000000,314.000000,304.049988,311.399994,310.063599,4390
2018-08-01,306.049988,313.700012,306.049988,308.000000,306.678223,2575
2018-08-02,305.049988,314.450012,305.049988,311.100006,309.764923,4393
2018-08-03,315.700012,319.399994,306.500000,308.350006,307.026703,8153
2018-08-06,305.100006,315.899994,298.000000,305.450012,304.139191,6621
2018-08-07,311.000000,315.000000,302.000000,312.100006,310.760620,5305
2018-08-08,314.000000,314.000000,302.100006,311.500000,310.163177,6418
2018-08-09,315.000000,327.000000,313.700012,325.149994,323.754578,10335
2018-08-10,338.000000,338.000000,319.000000,334.549988,333.114258,10782
2018-08-13,336.000000,349.000000,323.049988,343.149994,341.677368,9611
2018-08-14,344.649994,359.000000,341.049988,355.250000,353.725403,11857
2018-08-16,362.500000,362.500000,346.299988,359.649994,358.106537,4805
2018-08-17,360.000000,360.000000,345.500000,351.700012,350.190674,4689
2018-08-20,355.000000,357.000000,336.100006,344.950012,343.469635,5986
2018-08-21,346.000000,346.000000,334.000000,341.200012,339.735748,3881
2018-08-23,349.750000,350.000000,333.200012,341.799988,340.333130,4932
2018-08-24,348.799988,348.799988,330.500000,341.149994,339.685944,10544
2018-08-27,346.000000,346.000000,328.500000,336.299988,334.856750,7566
2018-08-28,340.000000,340.000000,335.000000,335.100006,333.661926,2496
2018-08-29,332.100006,339.000000,332.100006,333.049988,331.620697,4700
2018-08-30,340.000000,340.000000,333.149994,337.399994,335.951996,3093
2018-08-31,343.000000,343.000000,325.000000,337.500000,336.051575,6328
2018-09-03,342.000000,351.899994,338.000000,346.049988,344.564911,7795
2018-09-04,346.000000,346.000000,336.100006,338.899994,337.445587,4184
2018-09-05,334.200012,340.000000,334.100006,337.100006,335.653320,5481
2018-09-06,342.000000,363.399994,338.549988,358.399994,356.861908,15672
2018-09-07,361.950012,362.799988,345.700012,350.000000,348.497955,7642
2018-09-10,340.500000,364.000000,340.100006,360.500000,358.952911,9443
2018-09-11,367.000000,380.000000,346.000000,352.299988,350.788086,16106
2018-09-12,348.000000,360.000000,337.049988,358.750000,357.210388,9679
2018-09-14,360.000000,379.850006,354.200012,358.750000,357.210388,14430
2018-09-17,358.100006,379.000000,358.100006,372.700012,371.100555,23887
